reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,source,keyword
f0426313-678f-4174-8b6f-b251e025b957,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa setiap mau login selalu lama kebuka nya. tolong diperbaiki lagi dong sistem nya.. memalukan!!!!!!,1,0,,2025-12-13 15:43:37+00:00,"Halo Sahabat @Gaming Gaming, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Cira

",2025-12-13 15:45:24,,Dataset/dataset\LIVIN_googleplay_DECEMBER_reviews.csv,login
6597ec03-6386-4616-a691-a31525c9a00a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Susah untuk masuknya login, tidak ada penyelesaian.. padahal sudah video call sama admin, tapi kendalanya tidak terselesaikan.",1,0,,2025-11-18 14:11:18+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-11-18 14:31:16,,Dataset/dataset\JAGO_googleplay_NOVEMBER_reviews.csv,login
9fb9aaf8-3f1b-40f8-bc67-be9cddb3d949,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ovo sekarang merugikan.. payah sekali. sangat kecewa. Saya transfer dari paypal dikembalikan terus 2x. padahal dulu bisa lancar tidak ada kendala. sekarang merugikan sudah tidak bisa karna malah di transfer balik 👎👎👎,1,0,3.59.0,2025-10-03 06:25:21+00:00,,,3.59.0,Dataset/dataset\OVO_googleplay_OCTOBER_reviews.csv,transfer
32e03612-d72e-4dcf-a10b-4f9365c89c6f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"hari ini mau login apk ga bisa2, tolong ini kenapa ya?",2,0,,2025-11-17 11:32:59+00:00,Hai Kakak. Mohon maaf atas ketidaknyamanan dan kendala yang Kakak alami. Sebelumnya sempat terjadi kendala namun saat ini sudah berjalan normal. Silakan Kakak dapat mencoba kembali ya.,2025-11-17 13:19:47,,Dataset/dataset\BLU_googleplay_NOVEMBER_reviews.csv,login
3cec11c7-dbbd-4eeb-8679-0bb1ac287aa1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ngga bisa pake qris padahal jaringan lancar,4,0,1.64.0,2025-11-24 18:09:20+00:00,,,1.64.0,Dataset/dataset\GOPAY_googleplay_NOVEMBER_reviews.csv,qris
e698af2b-bee4-4a89-9f96-2b8856d4fb1a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus, transaksi cepst dan mudah. Pembayaran QRIS, top up, dan trsnsfer selalu berhasil tanpa delay. Recommended!",5,5,1.44.04,2025-12-03 21:00:50+00:00,"Hi Kak. Terima kasih telah menggunakan ShopeePay. Mari cek aplikasi ShopeePay karena banyak fitur yang mempermudah keseharian kakak seperti pembelian pulsa, paket data, pembayaran tagihan listrik dan pembayaran lainnya. Jika kakak memiliki pertanyaan seputar ShopeePay, mohon DM kami di Instagram @ShopeePay_ID ya. Semoga harimu menyenangkan ^RJ",2025-12-04 09:29:06,1.44.04,Dataset/dataset\SHOPEEPAY_googleplay_DECEMBER_reviews.csv,qris
100ea2db-4f1c-461a-bcfb-a04f5010e525,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"lagi nyoba dulu apakah aplikasinya bagus enggak, buat tarik tunai,atau transfer,",5,0,1.61.2,2025-10-31 12:52:00+00:00,,,1.61.2,Dataset/dataset\GOPAY_googleplay_OCTOBER_reviews.csv,transfer
ec1eda4b-f492-4014-afc6-25141432b50a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,AWALNYA BAGUS TP SYA TOPUP GOPAY DR INDOMARET 2JT CMN MASUK SATU JUTA KARNA MELEBIHI BATAS LIMIT SURUH NUNGGU 7HR JAM KERJA INI UDH LBH DR 7 HARI DR TGL 23 SEMPTER SAMPE SEKARANG BELOM DI TRANFER BALIK SUDAH DILAMPIRKAN JUGA BUKTI TRANSAKSINYA.,1,0,1.59.0,2025-10-03 12:16:23+00:00,"Hai Kak Dwi, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-276-1128-08516 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-03 18:28:14,1.59.0,Dataset/dataset\GOPAY_googleplay_OCTOBER_reviews.csv,topup
e56f4331-997b-4463-a511-be41ae4184b1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi Sampah, Fix 100% Mending Pakek Dana Sih, Di Sini Semuanya Ribet Gak Kayak Dana, Dan Untuk Transfer Lama Prosesnya, Di Dana Belum Kedip Aja Udah Masuk Di Sini Lama. Terus Ada Biaya Tiap Transaksi Gak Kayak Dana Yang Semuanya Gratis.",1,0,1.62.0,2025-11-18 23:03:42+00:00,,,1.62.0,Dataset/dataset\GOPAY_googleplay_NOVEMBER_reviews.csv,transfer
92fee6d2-9be7-4617-a169-c33632f45469,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,login susah malah ngirim notip di hp sebelumnya..coba vermuk loadingnyagk kelar2 gk bisa login,1,0,,2025-12-12 18:59:50+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-12-12 19:53:29,,Dataset/dataset\JAGO_googleplay_DECEMBER_reviews.csv,login
