reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,source
b765cfb4-569e-4b06-9ee1-d67ecf450b1b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jelek apk nya malah gagal login gara2 vermuk udah diterangin masih aja gagal payaaaaaaah,1,0,2.7.20,2025-12-31 17:47:46+00:00,"Hai, Kak Dudu. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-31 19:09:12,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
22d2cd5b-1d91-41e8-b3b4-a04904f78af3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong tambahkan fitur login masak pilihannya cuman mulai daftar akun sedangkan sebelumnya udah ada,1,0,2.7.20,2025-12-31 14:04:48+00:00,"Hai, Kak Ruth. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi memenuhi kebutuhan perbankan Kakak. Terkait kendala tersebut boleh infokan detail kendala serta kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",2025-12-31 15:03:36,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
7cc92511-6479-410d-9c04-a43b74ca7520,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ini gmn sy gabisa login krna masukin paswordssh bngt lodingnya lemot pdlhan snyal sy bagus2 aja,1,0,1.57.10,2025-12-31 04:19:30+00:00,"Hai, Kak Abi Fais. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",2025-12-31 05:13:16,1.57.10,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
b7139a6c-00f1-456e-99f1-e3e42bc0c21e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tampilan ui simpel dan mudah digunakan namun untuk login ke apl masih kurang responsif,3,0,,2025-12-30 23:19:30+00:00,"Hai, Kak Mahendra. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",2025-12-30 23:27:05,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
ebb9cc57-d15e-4c05-b237-3258baab6db1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,verif wajah susah sekali tolong di perbaiki padahal cmn makeup dikit ajaa kyk udh oplas satu muka.,2,0,2.7.20,2025-12-30 22:10:37+00:00,"Hai, Kak Putri. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-30 23:25:54,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
c7fbdd72-7e39-4fd8-a302-7973aafe8601,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kecewa banget, setiap mau transaksi online qris suka lama proses nya apalagi pas mau login ke m-banking. Mohon untuk di perbaiki ke depan nya",1,0,,2025-12-30 20:32:16+00:00,"Hai, Kak Muhamad iqbal. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan WiFi.",2025-12-30 20:56:48,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
45ffb1d1-1526-4c45-ba81-a18b139071c3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"jelek bgt buat transaksi pake qris, lamaaaa",1,0,2.7.20,2025-12-30 19:02:15+00:00,"Hai, Kak Putri Rahayu. Maaf atas ketidaknyamanannya. Kami akan selalu terus memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru, pastikan setting waktu di handphone menjadi otomatis, jaringan internet lancar dan stabil serta tidak menggunakan WiFi.",2025-12-30 19:44:35,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
49bec8da-e761-4087-a7d7-6ba98460c869,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"vermuk gagal mulu, makin lama makin gajelas padahal wajah sesuai nomer juga sesuai, hapus dari playstore aja aplikasinya makin kesini makin ga jelas",1,0,2.7.20,2025-12-30 16:00:47+00:00,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",2025-12-30 16:58:49,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
c240b8a9-8843-46ff-963e-3ed434f5bfcb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong aplikasiny di buat lebih smooth dan responsif, ui-uxny terlalu berat, loadingnya terlalu lama. di menu e-wallet ketika mau top up DANA, setelah kita masukkan nomor tujuan tidak muncul nama rekening DANAny (nama alias akun rekening) tolong ditambahkan nama pemilik akun rekeningnya",2,1,2.7.20,2025-12-29 23:57:27+00:00,"Hai, Kak Aldi. Maaf atas ketidaknyamanannya. Terima kasih atas saran dan masukan yang diberikan, kami akan selalu memperbaiki sistem demi mencapai kepuasan para pengguna aplikasi blu. Terkait kendala tersebut pastikan Kakak menggunakan aplikasi blu versi terbaru dan jaringan internet lancar dan stabil serta tidak menggunakan jaringan WiFi.",2025-12-30 00:07:26,2.7.20,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
b3f3abf4-876c-4a18-9272-8a504c114b8d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"udah logout account, mau login lagi susah!!! keteragan Terputus mulu. padahaludh pake wifi",2,0,,2025-12-29 18:11:10+00:00,"Hai, Kak Yuda. Maaf atas ketidaknyamanannya. Terkait kendala tersebut boleh kirimkan gambar kendalanya ke X @haloblu atau email haloblu@bcadigital.co.id agar kami bisa bantu lebih lanjut ya.",2025-12-29 18:17:42,,Dataset/dataset\BLU_googleplay_DECEMBER_reviews.csv
