reviewId,content,sentiment
6a7dbd15-2507-4f2c-bd2c-d36bbc89c640,masa Bank BUMN terbesar rating nya 4.1..tadinya ga mau komplain..liat2 komen emank agak bapuk ini aplikasinya..ini saya ga tau kenapa kalau pake qris ga pernah mau di klik yg kartu debit..maunya ke kartu kredit baru bisa di klik...apa emank begitu cara giring nya biar saya pergunakan kartu kredit nya??,2
c7f1469f-42f5-4dad-86eb-13aca28e5cf7,kenapa tidak bisa masuk ke aplikasi livin kami sedang melakukan peningkatan untuk layanan ini jika ada kendala untuk login ke livin kunjungi kantor cabang mandiri,0
3bde987d-6726-4ed8-8cc7-de39a3331f68,"heran aku, kejadian bukan 1 kali jadi di ATM saldo bri 27k terus aku tf 1,054 juta kok di ATM cuma 10,59 perbaiki dong????",2
91616e30-ada7-4242-8872-ab3e310881f2,Apk nya bagus cmn kebykn nyangkut di e-toll udh top up berhasil tp pas di cek gamasuk2 mohon d bantu arahan pengembalian dana nga saya udh 3x nyangkut dalam jumlah yg lumayan.,2
beffc9f7-fa71-4ab9-9fe8-17c66bab72b0,knp kalo mau transfer harus upgrade ke gopay plus dlu?,2
683bca31-66fe-4fdc-9883-b8010c5337f2,keren fitur-fiturnya ada juga gopay coin bisa di gunakan untuk top up game,1
08038bc2-91f2-4ea9-90d1-5f3660e27c11,"mau login aja ga bisa, udah verif email eh tetep ngulang dari awal. lewat shopee cuma loading terus.",2
9b730d55-b840-4b19-984b-6af9caa35230,"Saldo saya udah 4 hari ga msk² ,kacau ni gopay,di TF dari Bank BCA ke gopay saya ga msk2 sampai sekarang",2
0776eec4-7e97-4650-a498-87ba501ddf52,masa gua narik saldo atau tf beli kuota atau pulsa tetep gabisa,2
16e63e3b-7c7b-448a-abf4-3ab6c33767dc,tidak bisa login akun lama,2
70360e1f-98bf-44f6-8872-4f112803985a,"transfer dari bank Jago ke rekening Mandiri tanggal 06/11/25 hingga tgl 08/11/25 tidak masuk tetapi saldo terpotong sudah banyak keluhan konsumen ternyata di internet terhadap bank jago, kalo ada yg mengalami hal ini jangan gunakan chat admin karena mereka semua robot AI yg lamban. ga ada kejelasan. apakah ini termasuk penipuan terhadap konsumen?",2
18a225e3-b5cb-42fd-b1a3-c9e3ae08119e,tolong kenapa saya tf ply qr ko belum masuk tapi saldo dan split sudah terkirang,2
4f64757a-ad86-4287-b470-7003939df3c6,"kirain kaya merk sebelah,eh pakai minimal transfer melebihi bank konvesional. bank aja min trf 10k di sini 20k",2
bb9cdd17-d523-440f-814b-92956dcb8a04,"saya jadi cepat untuk transfer, dan terimakasih gopay",1
16e193d9-98fc-4247-8288-d01bf2ccbef3,knapa saya tidak bisa login ke HP yg lain?,2
da6efb5e-f5c1-4a23-82f1-97333eebff35,"plis adain qris tap dong min blu kaya bank yang lain niar naik mrt,krl dan transjakarta gampang",2
55c3bca2-e8fe-41b9-b701-daf6bb690c6d,verifikasi wajah sangat buruk. sulit sekali dibaca mukanya.,2
8aab6f55-5c3c-473b-b0c1-9c4919eff532,sy jg sdh bbrp kali hrs download ulang aplikasi livin krn gak bs dibuka sdgkan slth download ulang hrs msk lagi pake no kartu dan verifikasi wajah yg ckp memakan wkt lama,2
4638e284-c4ec-4a6c-a70f-75df5d2cd8ad,login gagal terus udah komplain sampai sekarang ga ada solusi Nasib saldo ga jelas,2
