reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e2e2fdc8-5c6e-49b7-9901-22047e853348,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,error terus utk transaksi mohon diperbaiki..,2,0,3.150.0,2025-12-31 23:58:29+00:00,,,3.150.0
f92f01c8-5c0b-4c5a-8cec-862011acd928,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tidak bisa tf 5k, pas naik ojek. jadi dgn iklas bayar 10k😭😭",1,0,3.150.0,2025-12-31 22:00:44+00:00,,,3.150.0
290b98d6-29fe-4335-bd44-230510f7c52e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,akhir akhir ini sulit di buka selalu error alesan sinyal tdk kuat padahal sinyal bagus tolong di perbaiki donk klo tdk sy tdk mau pake lagi ini,2,0,3.150.0,2025-12-31 21:49:43+00:00,,,3.150.0
5c5bb721-f14f-4e52-9783-ae26b36b934e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jangan ada yg pake opo apk ga jelas. enak pake gopay apa dana,1,0,,2025-12-31 21:41:39+00:00,,,
a0b81a23-a4a4-4a6a-a897-a358ff528721,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolol, apk gabisa lapor kendala berkali"" , akun saya terblokir saya ingin mengaktifkan tidak bisa! ini untuk kepentingan grab",1,0,3.150.0,2025-12-31 20:47:41+00:00,,,3.150.0
e361f9ef-bb1f-460d-b64c-9726648f3dd8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,payah ovo tdi pembayaran google play loca x tanpa konfirmasi dlu langsung dipotong,3,0,3.150.0,2025-12-31 20:21:34+00:00,,,3.150.0
e2dcb971-349f-417f-9285-0a108a8bc471,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi paling banyak potongan biaya admin nya👎,1,0,,2025-12-31 19:53:48+00:00,,,
28403b7a-1ee9-4aea-8a9a-6191673b7ed4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mkasih akun ovo terbaikk,5,0,3.150.0,2025-12-31 19:33:08+00:00,,,3.150.0
fb5d9a4e-b2df-419a-873b-d1c6eefedd75,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"MAKSA BANGET minta di upgrade ovo premier. Risih gue liatnya, dan kalau udh ada NIK yg dipakai, gabisa di pakai lagi di akun lain. BIKIN ORANG REPOT",1,0,3.150.0,2025-12-31 19:27:25+00:00,,,3.150.0
21e99165-5eae-4203-a173-770882423ea6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aneh gabisa didownload,1,0,,2025-12-31 19:20:23+00:00,,,
cb7d7d41-2d7d-4fe8-a6b0-326f3d478aae,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,error Pulu nih aplikasi dari dulu gak ada perubahan developernya nggak becus,1,0,3.150.0,2025-12-31 18:55:15+00:00,,,3.150.0
e9d5b902-0685-44bc-aa9c-88a0da2964e1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semoga lancar jaya 💪🏻💪🏻💪🏻💪🏻,5,0,,2025-12-31 18:02:31+00:00,,,
