reviewId,normalized,sentiment
6a7dbd15-2507-4f2c-bd2c-d36bbc89c640,mengapa peringkat bank bumn terbesar demikian awalnya tidak ingin mengeluhkan melihat komentar agak buruk aplikasi ini saya tidak tahu mengapa saat menggunakan qris kartu debit tidak bisa diklik hanya kartu kredit yang bisa diklik apakah memang demikian cara melakukannya agar saya dapat menggunakan kartu kreditnya,negatif
c7f1469f-42f5-4dad-86eb-13aca28e5cf7,mengapa tidak bisa masuk ke aplikasi livin kami sedang melakukan peningkatan untuk layanan ini jika ada kendala untuk masuk ke livin kunjungi kantor cabang mandiri,netral
3bde987d-6726-4ed8-8cc7-de39a3331f68,saya heran kejadian ini bukan pertama kalinya di atm bri saldo dua puluh tujuh ribu lalu saya melakukan transfer satu milyar lima puluh empat juta namun di atm hanya sepuluh koma lima sembilan mohon diperbaiki,negatif
91616e30-ada7-4242-8872-ab3e310881f2,aplikasinya bagus namun sering macet di e toll pengisian ulang saldo berhasil namun saat dicek tidak masuk mohon dibantu arahan pengembalian dana saya sudah beberapa kali nyangkut dalam jumlah yang lumayan,negatif
beffc9f7-fa71-4ab9-9fe8-17c66bab72b0,mengapa jika ingin mentransfer harus upgrade ke gopay plus dulu,netral
683bca31-66fe-4fdc-9883-b8010c5337f2,fiturnya menarik dan gopay coin bisa digunakan untuk mengisi ulang game,positif
08038bc2-91f2-4ea9-90d1-5f3660e27c11,ingin masuk saja tidak bisa sudah memverifikasi email tetap mengulang dari awal melalui shopee terus memuat,negatif
9b730d55-b840-4b19-984b-6af9caa35230,saldo saya tidak masuk selama empat hari gopay tidak berfungsi transfer dari bank bca ke gopay saya tidak masuk sampai saat ini,negatif
0776eec4-7e97-4650-a498-87ba501ddf52,mengapa saya menarik saldo atau transfer untuk membeli kuota data atau pulsa tetap tidak bisa,negatif
16e63e3b-7c7b-448a-abf4-3ab6c33767dc,tidak dapat masuk ke akun lama,negatif
70360e1f-98bf-44f6-8872-4f112803985a,transfer dari bank jago ke rekening mandiri tidak masuk tetapi saldo terpotong telah banyak keluhan konsumen ternyata di internet terhadap bank jago kalau ada yang mengalami hal ini jangan gunakan chat admin karena mereka semua robot ai yang lamban tidak ada kejelasan apakah ini termasuk penipuan terhadap konsumen,negatif
18a225e3-b5cb-42fd-b1a3-c9e3ae08119e,tolong mengapa saya transfer melalui kode qr belum masuk tetapi saldo dan pembagian sudah berkurang,negatif
4f64757a-ad86-4287-b470-7003939df3c6,kukira seperti merek sebelah eh pakai transfer minimal melebihi bank konvensional bank saja minimal transfer k di sini k,negatif
bb9cdd17-d523-440f-814b-92956dcb8a04,saya menjadi lebih cepat untuk melakukan transfer dan terima kasih gopay,positif
16e193d9-98fc-4247-8288-d01bf2ccbef3,mengapa saya tidak bisa masuk ke ponsel yang lain,netral
da6efb5e-f5c1-4a23-82f1-97333eebff35,tolong sediakan qris tap buat seperti bank lain agar naik mrt krl dan transjakarta menjadi mudah,netral
55c3bca2-e8fe-41b9-b701-daf6bb690c6d,proses verifikasi wajah sangat buruk sulit sekali dibaca mukanya,negatif
8aab6f55-5c3c-473b-b0c1-9c4919eff532,saya juga sudah beberapa kali harus mengunduh ulang aplikasi livin karena tidak bisa dibuka sedangkan setelah mengunduh ulang harus masuk lagi menggunakan nomor kartu dan verifikasi wajah yang cukup memakan waktu lama,negatif
4638e284-c4ec-4a6c-a70f-75df5d2cd8ad,proses masuk gagal terus sudah mengeluhkan masalah ini sampai saat ini tidak ada solusi nasib saldo tidak jelas,negatif
ed29a5d9-4f3a-454e-b973-315b40e37050,kebijakannya kurang bagus kendala pengisian saldo harus menunggu proses dua puluh empat jam setelah itu harus menunggu lagi satu hingga tiga hari,negatif
3d594ab3-ef4e-402d-9626-e6232149d219,saya mengisi ulang saldo mobile legend di myxl melalui pembayaran ovo saldo ovo terpotong namun di aplikasi myxl dinyatakan gagal dan saya memeriksa diamond juga belum naik,negatif
b6a78d42-030e-47a5-802f-fb3d29dac063,terlalu sering gangguan sehingga tidak bisa mentransfer masalah ini sudah ada sejak lama mengapa tidak diperbaiki,negatif
fc619bc4-eb5f-4e44-b465-4ef85b6bed64,lamanya transfer,negatif
6182ce9b-dafd-48eb-818d-db1b13553c2f,jangan khawatir ini hanya sementara blablalalallala dikira bayar qris mau menunggu gangguan bawa dompet elektronik agar lebih mudah malah menyusahkan,negatif
798c6dbb-dad7-4e52-ae28-1255c34ac4b0,bagus sekali selain jarang terjadi gangguan pada aplikasinya layanan pelanggan nya responsif saat mengajukan aduan saya sangat puas semoga sukses terus untuk bank mandiri,positif
6123062d-f7cb-47dd-ac08-71ba79a616e6,transfer gagal menunggu minggu berikutnya baru masuk lucu,negatif
524121d1-7171-4d84-a2df-9388cfa742ee,sering mengalami galat apalagi kalau pagi pagi dan terkadang transfer masuknya kapan ingin bepergian pagi pagi untuk isi ulang gopay untuk naik ojek tetapi sering galat meskipun sinyal aman akhirnya telat sampai tujuan ingin dipakai untuk membayar tetapi muter muter saja galat tidak ada sinyal ini sinyal padahal aman akhirnya harus meminta teman membayar nanti saya ubah ulasan saya kalau sudah lancar,negatif
991c80ac-12ae-4f06-a541-80ea92f2f6cb,bermanfaat karena bisa membayar memakai qris dan cod sehingga praktis sekali,positif
714779ff-3590-4dfe-b3b2-f0367a64a4b8,bagaimana ini sangat tidak praktis menggunakan ovo orang ingin transfer saja harus verifikasi sudah difoto ktp nya malah balik lagi disuruh diulang lagi foto ktp nya ribet banget pakai ovo tolong ya jangan dipersulit,negatif
641659ac-1ff9-4962-853a-427d957445fb,sering meminjam di gopay jika sedang mendesak saja itu pun langsung dibayar tidak pernah telat tetapi saat sedang mendesak kondisi malam tidak ada saldo ada uang tunai hanya untuk transfer namun itu bisa ditolak tidak seberapa harus memasukkan syarat bpkb aduh tidak lagi ya maaf,netral
7ae507e0-462b-413b-a31f-e9689ffdbb4b,saya sudah mengunduh dan ingin masuk tetapi keterangan selalu perbaikan,negatif
087b05fe-9870-4cd7-b976-72dead6c8100,tidak ada transfer melalui dompet elektronik,netral
f98d3da6-c100-4b8c-96e3-c38f44e0b596,ini tf jam pagi mengapa tidak masuk kacau,negatif
7eba851b-64d8-4500-abd0-8e15e41aa623,kesulitan masuk ketika verifikasi wajah meskipun sudah mengikuti instruksi berkedip,negatif
6acc5d99-2f52-40c9-9e1d-8b4863d637c0,sejauh ini menggunakan aplikasi terkait perbankan saya lebih suka dengan fitur mandiri yang selalu memberikan kemudahan bagi nasabahnya seperti setor tarik tanpa kartu qr untuk menerima transfer dan sebagainya yang belum tentu ada di bank lain ada fitur keamanan juga terkait deteksi telepon jadi kita menjadi lebih waspada terkait bahaya gendam atau penipuan melalui telepon terima kasih semoga ke depannya lebih berkembang,positif
8e8d9167-04a2-4faf-a74b-84c47869f332,sabtu tanggal oktober buat kalian jangan pakai gopay sebelum menyesal saya pakai gopay dari tahun sebelumnya lancar lancar saja tidak ada kendala atau gangguan sekarang transfer tertunda sudah beberapa hari kerja saya baru kali ini merasakannya uang entah kemana saya kecewa terhadap gopay dengan alasan bank penerima sedang gangguan pemeliharaan padahal itu pada jam kerja jadi menurut saya ini dari pihak gopay yang bermasalah saya sangat kecewa dengan kendala saya ini saya tidak ingin lagi menggunakan gopay,negatif
4ef36fab-b80d-49c2-9dad-75424f3d36a5,tidak bisa mengisi ulang clash of clans,negatif
f3c9b153-e750-4b92-b2b3-3b5ae1c7173b,sering terjadi masalah tf pada aplikasi ovo ini mohon diperbaiki masalah ini,negatif
e0b0937e-c323-4990-ad81-82ca388d0910,ingin dipersulit karena ada acara padahal sudah lama login hanya setel ulang ponsel,negatif
33d53689-72ac-490b-9f78-850dce9fc77c,sudah lama saya melakukan transfer untuk membeli makanan tetapi tidak berhasil,negatif
c0d19d01-ba36-494f-8bf2-1b590e58bec1,saya ingin melakukan pengisian saldo tetapi tiba tiba saya diberi peringatan mengenai aktivitas yang tidak wajar mohon segera ditanggapi permasalahan ini sudah hampir seminggu saya menunggu,negatif
6ddb49a5-61ac-4a66-989d-4bde95fd3f34,josht bisa mentransfer ke semua dompet digital tanpa pajak,positif
